索引   文件名   耗时  数据最优解   实验最优解 
134   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.5   6503   8447 
140   1190_Instance_20_2_3_0,2_1_10_Rep0.txt   3.22   319   474 
140   1190_Instance_20_2_3_0,2_1_10_Rep0.txt   3.22   319   474 
140   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.68   6503   7918 
145   1195_Instance_20_2_3_0,2_1_20_Rep0.txt   1.41   346   365 
145   1195_Instance_20_2_3_0,2_1_20_Rep0.txt   1.41   346   365 
145   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.42   6503   7859 
152   1200_Instance_20_2_3_0,4_0,2_10_Rep0.txt   3.27   2593   3968 
152   1200_Instance_20_2_3_0,4_0,2_10_Rep0.txt   3.27   2593   3968 
152   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.14   6503   8404 
157   1205_Instance_20_2_3_0,4_0,2_20_Rep0.txt   3.26   1355   2033 
157   1205_Instance_20_2_3_0,4_0,2_20_Rep0.txt   3.26   1355   2033 
157   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.67   6503   8019 
162   120_Instance_10_2_3_0,4_0,2_10_Rep0.txt   0.9   1160   1422 
162   120_Instance_10_2_3_0,4_0,2_10_Rep0.txt   0.9   1160   1422 
162   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.98   6503   7333 
163   1210_Instance_20_2_3_0,4_0,6_10_Rep0.txt   3.12   2398   2399 
163   1210_Instance_20_2_3_0,4_0,6_10_Rep0.txt   3.12   2398   2399 
163   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.28   6503   6970 
168   1215_Instance_20_2_3_0,4_0,6_20_Rep0.txt   3.05   2217   3580 
168   1215_Instance_20_2_3_0,4_0,6_20_Rep0.txt   3.05   2217   3580 
168   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.95   6503   8551 
174   1220_Instance_20_2_3_0,4_1_10_Rep0.txt   1.24   2392   1599 
174   1220_Instance_20_2_3_0,4_1_10_Rep0.txt   1.24   2392   1599 
174   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.9   6503   7590 
179   1225_Instance_20_2_3_0,4_1_20_Rep0.txt   2.24   2306   2143 
